Tahun,Kota/KAB,Median Upah,TPT,PPP,UMK
2018,KAB. PACITAN,1440000,1.39,0.836,1509816.12
2018,KAB. PONOROGO,1500000,3.77,0.805,1509816.12
2018,KAB. TRENGGALEK,1400000,4.12,0.749,1509816.12
2018,KAB. TULUNGAGUNG,1500000,2.53,0.806,1671035.77
2018,KAB. BLITAR,1352000,3.38,0.76,1653383.98
2018,KAB. KEDIRI,1500000,4.15,0.736,1713400.05
2018,KAB. MALANG,1750000,3.15,0.871,2574807.22
2018,KAB. LUMAJANG,1500000,2.46,0.801,1691041.12
2018,KAB. JEMBER,1300000,4.01,0.784,1916983.99
2018,KAB. BANYUWANGI,1500000,3.59,0.758,1881680.41
2018,KAB. BONDOWOSO,1300000,3.84,0.613,1667505.41
2018,KAB. SITUBONDO,1200000,1.85,0.771,1616903.62
2018,KAB. PROBOLINGGO,1400000,4,0.648,2042900.06
2018,KAB. PASURUAN,2300000,5.94,0.871,3574486.72
2018,KAB. SIDOARJO,3500000,4.62,1.017,3577428.68
2018,KAB. MOJOKERTO,2400000,4.21,0.783,3565660.82
2018,KAB. JOMBANG,1700000,4.56,0.789,2264135.78
2018,KAB. NGANJUK,1500000,2.6,0.577,1660444.69
2018,KAB. MADIUN,1500000,3.71,0.751,1576892.91
2018,KAB. MAGETAN,1800000,3.82,0.742,1509816.12
2018,KAB. NGAWI,1560000,3.75,0.615,1569832.19
2018,KAB. BOJONEGORO,1500000,4.11,0.825,1720460.77
2018,KAB. TUBAN,1728000,2.76,0.842,2067612.56
2018,KAB. LAMONGAN,1800000,3.1,0.888,1851083.98
2018,KAB. GRESIK,3100000,5.71,0.969,3580370.64
2018,KAB. BANGKALAN,1800000,5.09,0.71,1663975.05
2018,KAB. SAMPANG,1107000,2.38,0.724,1632201.84
2018,KAB. PAMEKASAN,1200000,2.88,0.698,1588660.76
2018,KAB. SUMENEP,1250000,1.75,0.92,1645146.48
2018,KOTA KEDIRI,1600000,3.56,0.835,1758117.91
2018,KOTA BLITAR,1500000,3.98,0.959,1640439.34
2018,KOTA MALANG,2000000,6.65,0.908,2470073.29
2018,KOTA PROBOLINGGO,1850000,3.56,0.992,1886387.56
2018,KOTA PASURUAN,1978000,4.5,0.83,2067612.56
2018,KOTA MOJOKERTO,2190000,2.44,0.888,1886387.56
2018,KOTA MADIUN,1700000,3.8,0.868,1640439.34
2018,KOTA SURABAYA,3000000,6.01,1,3583312.61
2018,KOTA BATU,1820000,3.07,1.024,2384167.93
2019,KAB. PACITAN,1700000,0.91,0.797,1763267.65
2019,KAB. PONOROGO,1620000,3.5,0.776,1763267.65
2019,KAB. TRENGGALEK,1650000,3.36,0.756,1763267.65
2019,KAB. TULUNGAGUNG,1500000,3.29,0.745,1805219.94
2019,KAB. BLITAR,1400000,3.05,0.72,1801406.09
2019,KAB. KEDIRI,1500000,3.58,0.677,1850986.07
2019,KAB. MALANG,1800000,3.7,0.851,2781564.24
2019,KAB. LUMAJANG,1560000,2.73,0.745,1826831.72
2019,KAB. JEMBER,1500000,3.69,0.772,2170917.8
2019,KAB. BANYUWANGI,1408000,3.95,0.734,2132779.35
2019,KAB. BONDOWOSO,1240000,2.86,0.643,1801406.09
2019,KAB. SITUBONDO,1450000,2.77,0.776,1763267.65
2019,KAB. PROBOLINGGO,1500000,3.77,0.604,2306944.93
2019,KAB. PASURUAN,2400000,5.22,0.86,3861518
2019,KAB. SIDOARJO,3400000,4.62,0.96,3864696.2
2019,KAB. MOJOKERTO,2400000,3.61,0.829,3851983.38
2019,KAB. JOMBANG,1920000,4.28,0.774,2445945.88
2019,KAB. NGANJUK,1500000,3.16,0.7,1801406.09
2019,KAB. MADIUN,1900000,3.52,0.693,1763267.65
2019,KAB. MAGETAN,1750000,2.98,0.745,1763267.65
2019,KAB. NGAWI,1800000,3.6,0.62,1763267.65
2019,KAB. BOJONEGORO,1820000,3.56,0.747,1858613.77
2019,KAB. TUBAN,1920000,2.7,0.782,2333641.85
2019,KAB. LAMONGAN,2000000,3.89,0.755,2233641.85
2019,KAB. GRESIK,3500000,5.4,0.88,3867874.4
2019,KAB. BANGKALAN,1800000,5.62,0.769,1801406.09
2019,KAB. SAMPANG,1410000,2.71,0.678,1765267.65
2019,KAB. PAMEKASAN,1250000,2.26,0.735,1763267.65
2019,KAB. SUMENEP,1400000,2.08,1.027,1801406.09
2019,KOTA KEDIRI,1700000,4.15,0.839,1899294.78
2019,KOTA BLITAR,1560000,4.54,0.848,1801406.09
2019,KOTA MALANG,2250000,5.88,0.854,2668420.18
2019,KOTA PROBOLINGGO,2000000,4.25,0.945,2137864.48
2019,KOTA PASURUAN,2100000,4.89,0.765,2575616.61
2019,KOTA MOJOKERTO,2800000,2.63,0.884,2263665.07
2019,KOTA MADIUN,2000000,3.96,0.814,1801406.09
2019,KOTA SURABAYA,3000000,5.76,1.004,3871052.61
2019,KOTA BATU,2025000,2.42,0.859,2575616.61
2020,KAB. PACITAN,1500000,2.28,0.79,1913321.73
2020,KAB. PONOROGO,1500000,4.45,0.927,1913321.73
2020,KAB. TRENGGALEK,1750000,4.11,0.79,1913321.73
2020,KAB. TULUNGAGUNG,1400000,4.61,0.85,1958844.16
2020,KAB. BLITAR,1400000,3.82,0.75,1954705.75
