Kota/Kabupaten,PPP,TPT,UM,UMK
Kabupaten Pacitan,0.88,0.15,1.11,1961154.77
Kabupaten Ponorogo,0.92,0.82,1.10,1954281.32
Kabupaten Trenggalek,0.92,0.81,1.10,1944932.74
Kabupaten Tulungagung,0.96,0.70,1.14,2029358.67
Kabupaten Blitar,0.96,0.69,1.13,2015071.18
Kabupaten Kediri,0.98,0.94,1.16,2043422.93
Kabupaten Malang,0.94,0.88,1.74,3068275.36
Kabupaten Lumajang,0.90,0.53,1.13,2000607.20
Kabupaten Jember,0.91,0.93,1.36,2355662.91
Kabupaten Banyuwangi,1.01,0.93,1.32,2328899.12
Kabupaten Bondowoso,0.96,0.74,1.11,1958640.12
Kabupaten Situbondo,0.93,0.52,1.10,1942750.77
Kabupaten Probolinggo,0.97,0.91,1.44,2553265.95
Kabupaten Pasuruan,0.95,1.36,2.44,4365133.19
Kabupaten Sidoarjo,1.09,1.63,2.44,4368581.85
Kabupaten Mojokerto,1.04,1.00,2.43,4354787.17
Kabupaten Jombang,0.99,1.26,1.54,2654095.88
Kabupaten Nganjuk,1.01,0.72,1.12,1970006.41
Kabupaten Madiun,1.00,0.85,1.11,1958410.31
Kabupaten Magetan,1.00,0.71,1.10,1957329.43
Kabupaten Ngawi,0.99,0.93,1.11,1962585.99
Kabupaten Bojonegoro,0.95,0.91,1.17,2079568.07
Kabupaten Tuban,0.95,0.69,1.47,2539224.88
Kabupaten Lamongan,0.99,0.86,1.39,2043422.93
Kabupaten Gresik,1.05,1.54,2.44,4372030.51
Kabupaten Bangkalan,0.88,1.56,1.11,1956773.48
Kabupaten Sampang,0.88,0.51,1.10,1922122.97
Kabupaten Pamekasan,0.88,0.53,1.10,1939686.39
Kabupaten Sumenep,0.89,0.35,1.12,1978927.22
Kota Kediri,1.02,1.03,1.19,2118116.63
Kota Blitar,1.07,1.15,1.14,2039024.44
Kota Malang,1.15,1.81,1.68,2994143.98
Kota Probolinggo,1.01,1.09,1.34,2376240.63
Kota Pasuruan,1.05,1.20,1.55,2838837.64
Kota Mojokerto,1.06,0.83,1.41,2510452.36
Kota Madiun,1.13,1.24,1.12,1991105.79
Kota Surabaya,1.17,1.76,2.44,4375479.19
Kota Batu,1.04,0.80,1.60,2830367.09
Kabupaten Pacitan,0.89,0.18,1.06,1968902.69
Kabupaten Ponorogo,0.93,0.75,1.06,2034554.68
Kabupaten Trenggalek,0.92,0.65,1.05,2103204.86
Kabupaten Tulungagung,0.97,0.79,1.10,1992645.97
Kabupaten Blitar,0.96,0.61,1.09,2106785.74
Kabupaten Kediri,0.97,0.88,1.11,2120080.33
Kabupaten Malang,0.94,0.93,1.66,3087249.51
Kabupaten Lumajang,0.90,0.53,1.08,2034491.22
Kabupaten Jember,0.91,0.91,1.28,2434740.85
Kabupaten Banyuwangi,1.01,0.94,1.26,2366016.38
Kabupaten Bondowoso,0.96,0.68,1.06,2039147.03
Kabupaten Situbondo,0.93,0.59,1.05,1924041.62
Kabupaten Probolinggo,0.97,0.82,1.39,2673126.29
Kabupaten Pasuruan,0.95,1.17,2.35,4635868.01
Kabupaten Sidoarjo,1.09,1.89,2.36,4221612.92
Kabupaten Mojokerto,1.04,0.96,2.35,4478861.01
Kabupaten Jombang,0.99,1.28,1.44,2711467.78
Kabupaten Nganjuk,1.01,0.80,1.07,1945185.90
Kabupaten Madiun,1.00,0.83,1.06,2003758.09
Kabupaten Magetan,1.00,0.61,1.06,2067819.03
Kabupaten Ngawi,0.99,0.83,1.06,2060862.64
Kabupaten Bojonegoro,0.95,0.83,1.13,2165794.45
Kabupaten Tuban,0.95,0.74,1.38,2569501.24
Kabupaten Lamongan,0.99,0.88,1.27,2106280.65
Kabupaten Gresik,1.05,1.50,2.36,4485314.34
Kabupaten Bangkalan,0.88,1.57,1.06,1979924.63
Kabupaten Sampang,0.88,0.53,1.05,1953005.81
Kabupaten Pamekasan,0.88,0.47,1.05,2026473.35
Kabupaten Sumenep,0.89,0.34,1.07,2025391.98
Kota Kediri,1.02,1.11,1.14,2099906.32
Kota Blitar,1.07,1.20,1.10,2037287.26
Kota Malang,1.15,1.79,1.62,3051803.75
Kota Probolinggo,1.01,1.17,1.28,2362191.47
Kota Pasuruan,1.05,1.17,1.54,2881480.65
Kota Mojokerto,1.06,1.07,1.36,2378639.78
Kota Madiun,1.13,1.41,1.07,1924313.90
Kota Surabaya,1.17,1.79,2.36,4414833.23
Kota Batu,1.04,0.96,1.53,2754205.07
